m_hidden,sparsity,seed,checkpoint_step,n_eigenspaces,n_eigenvectors,degeneracy_ratio,n_clusters,mean_participation_ratio,mean_max_space_projection
128,0.06061224489795918,1,25000,35,128,0.2734375,15,14.059694124472653,0.24173784136643628
128,0.08081632653061224,0,25000,36,128,0.28125,19,15.003586312146778,0.22738268860749225
128,0.08081632653061224,1,25000,36,128,0.28125,14,14.529713600806122,0.23854592492777588
128,0.1010204081632653,0,25000,41,128,0.3203125,17,17.112768871804292,0.21616972445987215
128,0.1010204081632653,1,25000,39,128,0.3046875,16,16.511545561277075,0.22214456911248132
128,0.12122448979591836,0,25000,40,128,0.3125,18,16.643359706019403,0.21847511580144982
128,0.12122448979591836,1,25000,42,128,0.328125,19,17.627587272829235,0.21447307816737474
128,0.14142857142857143,0,25000,47,128,0.3671875,19,17.57188961064641,0.2113377786050976
128,0.14142857142857143,1,25000,51,128,0.3984375,20,17.923767458897373,0.218261409330718
128,0.16163265306122448,0,25000,63,128,0.4921875,22,20.550040600894498,0.19840382708397053
128,0.16163265306122448,1,25000,67,128,0.5234375,20,19.782412798405055,0.2066284095286105
128,0.18183673469387754,0,25000,81,128,0.6328125,24,22.180378679674803,0.19182057437886352
128,0.18183673469387754,1,25000,79,128,0.6171875,23,21.580329407935398,0.19501050569316758
128,0.2020408163265306,0,25000,86,128,0.671875,22,22.221634954092245,0.18300272116675437
128,0.2020408163265306,1,25000,94,128,0.734375,22,22.816873485148218,0.1881963906570653
128,0.22224489795918367,0,25000,97,128,0.7578125,20,23.649720971528232,0.17652668908809604
128,0.22224489795918367,1,25000,102,128,0.796875,20,24.569928884380968,0.1810130411590301
128,0.24244897959183673,0,25000,108,128,0.84375,18,25.19555350495265,0.17250935824277833
128,0.24244897959183673,1,25000,110,128,0.859375,20,25.335877315782486,0.17624511223562125
128,0.2626530612244898,0,25000,120,128,0.9375,16,30.80523637076108,0.1538082641500012
128,0.2626530612244898,1,25000,120,128,0.9375,16,30.100953992319102,0.1591585871578073
128,0.28285714285714286,0,25000,126,128,0.984375,24,33.70317756819425,0.14295677721903238
128,0.28285714285714286,1,25000,124,128,0.96875,31,34.98788428100842,0.13783984083074444
128,0.3030612244897959,0,25000,125,128,0.9765625,33,35.64610387202398,0.13187672591853544
128,0.3030612244897959,1,25000,124,128,0.96875,33,35.696062851568996,0.131686506982512
128,0.32326530612244897,0,25000,126,128,0.984375,33,37.04596700616845,0.1201191011433315
128,0.32326530612244897,1,25000,123,128,0.9609375,34,35.8232942555523,0.12735006787926775
128,0.34346938775510205,0,25000,124,128,0.96875,30,33.708819838061174,0.12623220562291543
128,0.34346938775510205,1,25000,124,128,0.96875,34,34.07707857617909,0.12672867411107655
128,0.3636734693877551,0,25000,128,128,1.0,18,25.268682321437833,0.1493607388698761
128,0.3636734693877551,1,25000,126,128,0.984375,16,24.63728755832379,0.15617687422864385
128,0.38387755102040816,0,25000,122,128,0.953125,13,21.07723302382031,0.17232159597173285
128,0.38387755102040816,1,25000,124,128,0.96875,13,21.723293598441792,0.16910084457893537
128,0.4040816326530612,0,25000,122,128,0.953125,14,13.065625153232837,0.20267951457760575
128,0.4040816326530612,1,25000,121,128,0.9453125,15,14.33372393720811,0.19979231921807594
128,0.42428571428571427,0,25000,122,128,0.953125,20,13.118438508438674,0.19516250832682241
128,0.42428571428571427,1,25000,119,128,0.9296875,16,12.495265323092351,0.20357431955072863
128,0.44448979591836735,0,25000,120,128,0.9375,15,13.433772427425769,0.2036591800510696
128,0.44448979591836735,1,25000,122,128,0.953125,15,13.79965805660198,0.2078577432611762
128,0.4646938775510204,0,25000,121,128,0.9453125,12,13.475959714344098,0.22538823033957317
