m_hidden,sparsity,seed,checkpoint_step,n_clusters,mean_participation_ratio,mean_max_projection
160,0.8283673469387755,0,25000,24,53.98221693703529,0.054492307700312374
160,0.8283673469387755,1,25000,21,53.10356090354411,0.05936347311604062
160,0.8485714285714285,0,25000,24,53.576045145196844,0.05623044299200937
160,0.8485714285714285,1,25000,23,53.11628191347898,0.05689205642931011
160,0.8687755102040816,0,25000,25,53.58407532548544,0.056859075247667167
160,0.8687755102040816,1,25000,19,53.11289669555963,0.056592656434554856
160,0.8889795918367347,0,25000,24,53.03292997097633,0.05676896946586184
160,0.8889795918367347,1,25000,22,52.743209895877754,0.05722985452208362
160,0.9091836734693878,0,25000,19,54.76076938729304,0.053292028356952764
160,0.9091836734693878,1,25000,19,54.237271369487104,0.05405173624890079
160,0.9293877551020407,0,25000,16,54.461611126964954,0.05341503566506317
160,0.9293877551020407,1,25000,17,54.91174642565834,0.05308024730745904
